,Area,GDP
1,Alabama,210954.0
2,Alaska,52789.0
3,Arizona,319850.0
4,Arkansas,124918.0
5,California,2746873.0
6,Colorado,342748.0
7,Connecticut,260827.0
8,Delaware,73541.0
9,District of Columbia,131010.0
10,Florida,967337.0
11,Georgia,554269.0
12,Hawaii,88136.0
13,Idaho,71886.0
14,Illinois,820362.0
15,Indiana,359122.0
16,Iowa,190191.0
17,Kansas,157797.0
18,Kentucky,202507.0
19,Louisiana,246264.0
20,Maine,61404.0
21,Maryland,393632.0
22,Massachusetts,527455.0
23,Michigan,504967.0
24,Minnesota,351113.0
25,Mississippi,111707.0
26,Missouri,304898.0
27,Montana,48098.0
28,Nebraska,121774.0
29,Nevada,156313.0
30,New Hampshire,80516.0
31,New Jersey,591743.0
32,New Mexico,97090.0
33,New York,1547116.0
34,North Carolina,538291.0
35,North Dakota,55493.0
36,Ohio,649127.0
37,Oklahoma,189160.0
38,Oregon,236219.0
39,Pennsylvania,752071.0
40,Rhode Island,59458.0
41,South Carolina,219093.0
42,South Dakota,49928.0
43,Tennessee,345218.0
44,Texas,1696206.0
45,Utah,165526.0
46,Vermont,32197.0
47,Virginia,508662.0
48,Washington,506353.0
49,West Virginia,76794.0
50,Wisconsin,324061.0
51,Wyoming,40286.0
