Area,GDP
AL,210954.0
AK,52789.0
AZ,319850.0
AR,124918.0
CA,2746873.0
CO,342748.0
CT,260827.0
DE,73541.0
DC,131010.0
FL,967337.0
GA,554269.0
HI,88136.0
ID,71886.0
IL,820362.0
IN,359122.0
IA,190191.0
KS,157797.0
KY,202507.0
LA,246264.0
ME,61404.0
MD,393632.0
MA,527455.0
MI,504967.0
MN,351113.0
MS,111707.0
MO,304898.0
MT,48098.0
NE,121774.0
NV,156313.0
NH,80516.0
NJ,591743.0
NM,97090.0
NY,1547116.0
NC,538291.0
ND,55493.0
OH,649127.0
OK,189160.0
OR,236219.0
PA,752071.0
RI,59458.0
SC,219093.0
SD,49928.0
TN,345218.0
TX,1696206.0
UT,165526.0
VT,32197.0
VA,508662.0
WA,506353.0
WV,76794.0
WI,324061.0
WY,40286.0
